Date,Open,High,Low,Close,Adj Close
27/11/2019,66.394997,66.995003,66.327499,66.959999,65.979927
29/11/2019,66.650002,67,66.474998,66.8125,65.834587
02/12/2019,66.817497,67.0625,65.862503,66.040001,65.073402
03/12/2019,64.577499,64.8825,64.072502,64.862503,63.913132
04/12/2019,65.267502,65.827499,65.169998,65.434998,64.477242
05/12/2019,65.947502,66.472504,65.682503,66.394997,65.423195
06/12/2019,66.870003,67.75,66.824997,67.677498,66.686935
09/12/2019,67.5,67.699997,66.227501,66.730003,65.753296
10/12/2019,67.150002,67.517502,66.464996,67.120003,66.137596
11/12/2019,67.202499,67.775002,67.125,67.692497,66.701714
12/12/2019,66.945,68.139999,66.830002,67.864998,66.871681
13/12/2019,67.864998,68.824997,67.732498,68.787498,67.780685
16/12/2019,69.25,70.197502,69.245003,69.964996,68.940941
17/12/2019,69.892502,70.442497,69.699997,70.102501,69.076439
18/12/2019,69.949997,70.474998,69.779999,69.934998,68.911385
19/12/2019,69.875,70.294998,69.737503,70.004997,68.980354
20/12/2019,70.557503,70.662498,69.639999,69.860001,68.837471
23/12/2019,70.1325,71.0625,70.092499,71,69.9608
24/12/2019,71.172501,71.222504,70.730003,71.067497,70.027313
26/12/2019,71.205002,72.495003,71.175003,72.477501,71.416672
27/12/2019,72.779999,73.4925,72.029999,72.449997,71.389565
30/12/2019,72.364998,73.172501,71.305,72.879997,71.813271
31/12/2019,72.482498,73.419998,72.379997,73.412498,72.33799
02/01/2020,74.059998,75.150002,73.797501,75.087502,73.988464
03/01/2020,74.287498,75.144997,74.125,74.357498,73.269157
06/01/2020,73.447502,74.989998,73.1875,74.949997,73.852982
07/01/2020,74.959999,75.224998,74.370003,74.597504,73.505638
08/01/2020,74.290001,76.110001,74.290001,75.797501,74.68808
09/01/2020,76.809998,77.607498,76.550003,77.407501,76.274513
10/01/2020,77.650002,78.167503,77.0625,77.582497,76.446953
13/01/2020,77.910004,79.267502,77.787498,79.239998,78.080193
14/01/2020,79.175003,79.392502,78.042503,78.169998,77.025848
15/01/2020,77.962502,78.875,77.387497,77.834999,76.695755
16/01/2020,78.397499,78.925003,78.022499,78.809998,77.656487
17/01/2020,79.067497,79.684998,78.75,79.682503,78.516205
21/01/2020,79.297501,79.754997,79,79.142502,77.984131
22/01/2020,79.644997,79.997498,79.327499,79.425003,78.262489
23/01/2020,79.480003,79.889999,78.912498,79.807503,78.639397
24/01/2020,80.0625,80.832497,79.379997,79.577499,78.41275
27/01/2020,77.514999,77.942497,76.220001,77.237503,76.106987
28/01/2020,78.150002,79.599998,78.047501,79.422501,78.260025
29/01/2020,81.112503,81.962502,80.345001,81.084999,79.89817
30/01/2020,80.135002,81.022499,79.6875,80.967499,79.782417
31/01/2020,80.232498,80.669998,77.072502,77.377502,76.244949
03/02/2020,76.074997,78.372498,75.555,77.165001,76.035553
04/02/2020,78.827499,79.910004,78.407501,79.712502,78.545784
05/02/2020,80.879997,81.190002,79.737503,80.362503,79.186264
06/02/2020,80.642502,81.305,80.065002,81.302498,80.112503
07/02/2020,80.592499,80.849998,79.5,80.0075,79.023552
10/02/2020,78.544998,80.387497,78.462502,80.387497,79.39888
11/02/2020,80.900002,80.974998,79.677498,79.902496,78.919853
